Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-05-20,25.869329839264232,25.941139221191406,25.815472802818853,25.941139221191406,98200,20,3,20,5,1993
1993-05-21,25.959094630939333,25.994999326141187,25.689809416925442,25.707761764526367,221400,21,4,20,5,1993
1993-05-24,25.761608905022932,25.905227630625845,25.761608905022932,25.815465927124023,30500,24,0,21,5,1993
1993-05-25,25.92317310891823,25.92317310891823,25.86931610107422,25.86931610107422,191800,25,1,21,5,1993
1993-05-26,25.941139617302877,26.21042480364166,25.923187271546958,26.192472457885742,102400,26,2,21,5,1993
1993-05-27,26.228390559861552,26.228390559861552,26.06681936544762,26.102724075317383,53800,27,3,21,5,1993
1993-05-28,26.084749560563747,26.084749560563747,25.851369144674326,25.977035522460938,79100,28,4,21,5,1993
1993-06-01,26.066799594636326,26.318132373097004,26.030894911999084,26.228370666503906,28300,1,1,22,6,1993
1993-06-02,26.156567766373904,26.282234186665338,26.04885369183839,26.192472457885742,20300,2,2,22,6,1993
1993-06-03,26.138628785187148,26.138628785187148,26.04886701051274,26.102724075317383,21600,3,3,22,6,1993
1993-06-04,26.030895609622007,26.030895609622007,25.90522921702383,26.012943267822266,32000,4,4,22,6,1993
1993-06-07,26.066804103904154,26.066804103904154,25.923185348510742,25.923185348510742,121400,7,0,23,6,1993
1993-06-08,25.851367494595127,25.851367494595127,25.689796447753906,25.689796447753906,104500,8,1,23,6,1993
1993-06-09,25.779573440551758,25.887287535707266,25.74366874216659,25.779573440551758,43300,9,2,23,6,1993
1993-06-10,25.761607375174826,25.81546439407763,25.70775035627202,25.79751205444336,17900,10,3,23,6,1993
1993-06-11,25.88726769630395,25.941124702606942,25.7975060191323,25.90522003173828,647400,11,4,23,6,1993
1993-06-14,25.941125444866238,25.95907778081424,25.86931610107422,25.86931610107422,64200,14,0,24,6,1993
1993-06-15,25.905227630625845,25.92317997132621,25.815465927124023,25.815465927124023,142400,15,1,24,6,1993
1993-06-16,25.815459093230206,25.86931610107422,25.74364974943819,25.86931610107422,330900,16,2,24,6,1993
1993-06-17,25.92318078195406,25.95908546447754,25.869323758168836,25.95908546447754,37400,17,3,24,6,1993
1993-06-18,25.9441870384002,25.9441870384002,25.745311737060547,25.745311737060547,58500,18,4,24,6,1993
1993-06-21,25.817632492054734,25.817632492054734,25.76339376833193,25.79955291748047,29300,21,0,25,6,1993
1993-06-22,25.83571415855771,25.83571415855771,25.781475430443173,25.81763458251953,137500,22,1,25,6,1993
1993-06-23,25.81763604908866,25.81763604908866,25.58260154724121,25.58260154724121,227600,23,2,25,6,1993
1993-06-24,25.654913814496794,25.92610740661621,25.654913814496794,25.92610740661621,243700,24,3,25,6,1993
1993-06-25,25.90802764892578,25.980345939641555,25.88994807624684,25.90802764892578,44800,25,4,25,6,1993
1993-06-28,26.034581912970694,26.197298049926758,25.9984227714249,26.197298049926758,439900,28,0,26,6,1993
1993-06-29,26.161143337307955,26.161143337307955,26.03458632047233,26.07074546813965,207500,29,1,26,6,1993
1993-06-30,26.10690461580697,26.161143337307955,26.03458632047233,26.07074546813965,437600,30,2,26,6,1993
1993-07-01,26.106909623232273,26.106909623232273,25.962273004821014,25.998432159423828,605700,1,3,26,7,1993
1993-07-02,25.908038560827293,25.926118141120963,25.763401918477943,25.85379981994629,285400,2,4,26,7,1993
1993-07-06,25.81763604908866,25.88995435734941,25.546442393110837,25.58260154724121,246400,6,1,27,7,1993
1993-07-07,25.564520789503295,25.691077823114696,25.564520789503295,25.654918670654297,343700,7,2,27,7,1993
1993-07-08,25.6730048947218,25.998437351133767,25.636845732898248,25.944198608398438,248200,8,3,27,7,1993
1993-07-09,25.94419931354748,26.016517639160156,25.889960569337973,26.016517639160156,378200,9,4,27,7,1993
1993-07-12,25.98035258212242,26.016511736725235,25.944193427519604,25.998432159423828,373700,12,0,28,7,1993
1993-07-13,26.016503916072114,26.088822203538612,25.83570819740587,25.980344772338867,389600,13,1,28,7,1993
1993-07-14,25.998427172805005,26.143063763474295,25.980347598971342,26.07074546813965,617300,14,2,28,7,1993
1993-07-15,26.05267627126327,26.05267627126327,25.908039622984223,25.962278366088867,443800,15,3,28,7,1993
1993-07-16,25.980351496009188,25.998431072554776,25.853794460190077,25.88995361328125,216400,16,4,28,7,1993
1993-07-19,25.88994579728378,25.88994579728378,25.799547941846335,25.87186622619629,188200,19,0,29,7,1993
1993-07-20,25.853800703839557,25.944198608398438,25.727243637457125,25.944198608398438,68500,20,1,29,7,1993
1993-07-21,25.908027833808248,25.92610740661621,25.835709542576403,25.92610740661621,142700,21,2,29,7,1993
1993-07-22,25.889948319853023,25.92610746555114,25.745311737060547,25.745311737060547,632400,22,3,29,7,1993
1993-07-23,25.799547941846335,25.87186622619629,25.781468370758844,25.87186622619629,286200,23,4,29,7,1993
1993-07-26,25.94419931354748,26.070756383369663,25.94419931354748,26.016517639160156,121300,26,0,30,7,1993
1993-07-27,26.034591314026642,26.05267089132805,25.90803427291679,25.998432159423828,92800,27,1,30,7,1993
1993-07-28,25.944198608398438,25.998437351133767,25.908039446574886,25.944198608398438,30800,28,2,30,7,1993
1993-07-29,25.998412150107402,26.161128220587905,25.962253023333954,26.088809967041016,331000,29,3,30,7,1993
1993-07-30,26.088835255692643,26.088835255692643,25.908039446574886,25.944198608398438,75300,30,4,30,7,1993
1993-08-02,25.980358476353818,26.106915546176,25.980358476353818,26.016517639160156,41300,2,0,31,8,1993
1993-08-03,26.070756559901767,26.143074886004133,25.944199489222633,26.034597396850586,81600,3,1,31,8,1993
1993-08-04,26.034597396850586,26.088836141427358,25.962279070748224,26.034597396850586,434000,4,2,31,8,1993
1993-08-05,26.03458348793874,26.03458348793874,25.944185628605617,25.980344772338867,36800,5,3,31,8,1993
1993-08-06,26.052676801966495,26.070756383369663,25.980358476353818,26.016517639160156,402300,6,4,31,8,1993
1993-08-09,26.08882025248772,26.233456816604075,26.03458154094409,26.1611385345459,828200,9,0,32,8,1993
1993-08-10,26.143068313598633,26.16114789057899,26.106909159637915,26.143068313598633,604900,10,1,32,8,1993
1993-08-11,26.124988736618274,26.215386621520068,26.124988736618274,26.143068313598633,542200,11,2,32,8,1993
1993-08-12,26.21538205880894,26.21538205880894,25.980347598971342,26.07074546813965,303700,12,3,32,8,1993
1993-08-13,26.08882731545995,26.12498646627833,26.08882731545995,26.10690689086914,103500,13,4,32,8,1993
1993-08-16,26.124989815651553,26.32386517064959,26.124989815651553,26.25154685974121,241800,16,0,33,8,1993
1993-08-17,26.23345868065493,26.341936111450195,26.23345868065493,26.341936111450195,369300,17,1,33,8,1993
1993-08-18,26.432335454530683,26.540812891416582,26.414255881716365,26.486574172973633,414300,18,2,33,8,1993
1993-08-19,26.504653745787948,26.504653745787948,26.450415027345,26.486574172973633,28500,19,3,33,8,1993
1993-08-20,26.43234324747999,26.504661560058594,26.414263669335337,26.504661560058594,80700,20,4,33,8,1993
1993-08-23,26.39618926397025,26.468507590720854,26.39618926397025,26.450428009033203,15600,23,0,34,8,1993
1993-08-24,26.450417587610417,26.73969078063965,26.450417587610417,26.73969078063965,273400,24,1,34,8,1993
1993-08-25,26.739694775761784,26.866251816620697,26.703535621230667,26.757774353027344,242300,25,2,34,8,1993
1993-08-26,26.77585220336914,26.920488812165193,26.6673747467721,26.77585220336914,120000,26,3,34,8,1993
1993-08-27,26.703535621230667,26.757774353027344,26.703535621230667,26.757774353027344,25700,27,4,34,8,1993
1993-08-30,26.77583219802877,26.90238913616935,26.77583219802877,26.866230010986328,183500,30,0,35,8,1993
1993-08-31,26.848162631860514,26.938560485839844,26.812003490268786,26.938560485839844,66500,31,1,35,8,1993
1993-09-01,26.848169872837683,26.95664732686935,26.848169872837683,26.902408599853516,136500,1,2,35,9,1993
1993-09-02,26.920483431619964,26.956642576591918,26.793926424218125,26.8120059967041,472400,2,3,35,9,1993
1993-09-03,26.793938037841468,26.86625635913119,26.757778877196607,26.830097198486328,630500,3,4,35,9,1993
1993-09-07,26.83008965190748,26.866248802381744,26.613134749061864,26.649293899536133,196400,7,1,36,9,1993
1993-09-08,26.649275759598932,26.649275759598932,26.378082315641006,26.55887794494629,269900,8,2,36,9,1993
1993-09-09,26.45041820925215,26.63121395914451,26.45041820925215,26.613134384155273,239200,9,3,36,9,1993
1993-09-10,26.6854550448331,26.8662508107195,26.649295891655818,26.84817123413086,106500,10,4,36,9,1993
1993-09-13,26.938548261352373,26.938548261352373,26.866230010986328,26.866230010986328,66900,13,0,37,9,1993
1993-09-14,26.79393350755846,26.79393350755846,26.667376466699547,26.757774353027344,184500,14,1,37,9,1993
1993-09-15,26.649301395262025,26.848176778808757,26.558903493649876,26.830097198486328,101000,15,2,37,9,1993
1993-09-16,26.79393314573213,26.81201272275354,26.70353526062507,26.721614837646484,54300,16,3,37,9,1993
1993-09-17,26.706186161847913,26.724378386753806,26.63341726222435,26.669801712036133,200900,17,4,37,9,1993
1993-09-20,26.706198837930923,26.760775538553396,26.451507568359375,26.451507568359375,57800,20,0,38,9,1993
1993-09-21,26.48788024607488,26.524264696962344,26.08765128631276,26.36053466796875,318200,21,1,38,9,1993
1993-09-22,26.451487090145374,26.615217065256317,26.415102651231834,26.578832626342773,439700,22,2,38,9,1993
1993-09-23,26.651600174874655,26.742561267621667,26.61521573777585,26.724369049072266,88500,23,3,38,9,1993
1993-09-24,26.687990050592518,26.70618227284923,26.61522116156568,26.6516056060791,53500,24,4,38,9,1993
1993-09-27,26.851721151224428,26.94268226623535,26.851721151224428,26.94268226623535,274600,27,0,39,9,1993
1993-09-28,26.960881933953026,26.960881933953026,26.869920793824978,26.888113021850586,158300,28,1,39,9,1993
1993-09-29,26.888101221668585,26.960870101835482,26.760755681376512,26.79714012145996,221000,29,2,39,9,1993
1993-09-30,26.797151374816895,26.85172805786133,26.687998008728027,26.74257469177246,99300,30,3,39,9,1993
1993-10-01,26.70619067874565,26.906305186556413,26.669806222780053,26.86992073059082,22700,1,4,39,10,1993
1993-10-04,26.90629768371582,26.90629768371582,26.833528792076294,26.90629768371582,1038500,4,0,40,10,1993
1993-10-05,26.960881870504803,26.960881870504803,26.778959590676834,26.86992073059082,436500,5,1,40,10,1993
1993-10-06,26.88811098527779,26.9972643451639,26.851726531982422,26.851726531982422,209200,6,2,40,10,1993
1993-10-07,26.888104980406553,26.888104980406553,26.76075942231261,26.77895164489746,59400,7,3,40,10,1993
1993-10-08,26.85172640258292,26.869918629142937,26.61522745730272,26.81534194946289,54400,8,4,40,10,1993
1993-10-11,26.86992073059082,26.92449741453921,26.86992073059082,26.86992073059082,467100,11,0,41,10,1993
1993-10-12,26.90629768371582,26.924489906625702,26.88810546080594,26.90629768371582,26200,12,1,41,10,1993
1993-10-13,26.924489906625702,26.924489906625702,26.869913237896057,26.90629768371582,139100,13,2,41,10,1993
1993-10-14,27.015463653330173,27.251962661743164,26.942694727664637,27.251962661743164,108100,14,3,41,10,1993
1993-10-15,27.379310666169147,27.452079598172254,27.30654173416604,27.397502899169922,1502500,15,4,41,10,1993
1993-10-18,27.379300876876485,27.379300876876485,27.28833974439517,27.324724197387695,722400,18,0,42,10,1993
1993-10-19,27.288340946558254,27.34291762845137,27.124610900878906,27.124610900878906,880100,19,1,42,10,1993
1993-10-20,27.215566432004955,27.215566432004955,27.106413090700123,27.16098976135254,230400,20,2,42,10,1993
1993-10-21,27.179187582772023,27.179187582772023,27.088226446283493,27.124610900878906,56200,21,3,42,10,1993
1993-10-22,27.16100066177286,27.2701540468838,26.997270584106445,26.997270584106445,390700,22,4,42,10,1993
1993-10-25,27.015457345593358,27.106418481437107,26.94268843691836,27.07003402709961,114500,25,0,43,10,1993
1993-10-26,27.051820755004883,27.070012968021025,26.960859689924167,27.051820755004883,186200,26,1,43,10,1993
